Player ID ,No. ,First Name ,Last Name ,GP,GS,Min Played ,AVG,FG,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,OFF,DEF,TOT,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,Effective FG %,True Shooting %,Possessions ,Points/ per possession ,Assist to turnover 
15,13,Jada,Lewis ,31,31,1108:02:00,35.7,147,385,0.382,56,172,0.326,71,86,0.826,11,61,72,2.3,36,0,80,67,1,52,421,13.6,0.382,0.498,462.366,0.911,1.194
14,00,Allison ,Johnson ,29,29,825:02:00,28.4,129,268,0.481,12,38,0.316,68,108,0.63,40,128,168,5.8,80,1,43,77,7,23,338,11.7,0.482,0.536,341.499,0.990,0.558
9,12,Walnatia,Wright ,30,28,710:19:00,23.7,137,270,0.507,0,3,0,51,91,0.56,85,168,253,8.4,76,2,19,54,5,27,325,10.8,0.507,0.524,270.038,1.204,0.352
8,2,K.K,Williams ,31,30,863:58:00,27.9,77,242,0.318,46,138,0.333,43,53,0.811,38,32,70,2.3,45,0,26,41,3,52,243,7.8,0.319,0.458,259.227,0.937,0.634
7,21,Kierra,Henry ,31,1,481:14:00,15.5,52,139,0.374,16,59,0.271,43,59,0.729,10,44,54,1.7,50,0,25,48,1,15,163,5.3,0.375,0.494,196.762,0.828,0.521
12,15,Madison ,Ervin,31,27,715:55:00,23.1,49,170,0.288,27,96,0.281,31,51,0.608,7,58,65,2.1,57,1,49,57,4,31,156,5,0.289,0.405,235.022,0.664,0.860
6,1,Janessa,Murphy,31,5,737:35:00,23.8,55,137,0.401,24,68,0.353,19,25,0.76,8,63,71,2.3,30,0,46,58,2,30,153,4.9,0.402,0.517,192.400,0.795,0.793
13,30,Shaquanda,Miller-McCray,31,2,424:20:00,13.7,41,80,0.513,0,0,0,18,31,0.581,36,94,130,4.2,47,0,13,34,48,12,100,3.2,0.513,0.534,89.334,1.119,0.382
5,32,Victoria,Middlebrooks,27,1,215:18:00,8,16,42,0.381,4,19,0.211,7,13,0.538,10,29,39,1.4,35,0,13,27,3,10,43,1.6,0.384,0.451,63.211,0.680,0.481
4,11,Juliet,James,2,0,4:00,2,1,2,0.5,0,0,0,1,2,0.5,1,0,1,0.5,1,0,0,0,0,0,3,1.5,0.500,0.521,1.805,1.662,#DIV/0!
3,20,Francesca,Minali,18,1,99:28:00,5.5,6,16,0.375,0,0,0,0,0,0,5,12,17,0.9,7,0,2,7,2,2,12,0.7,0.375,0.375,17.560,0.683,0.286
2,22,Deja,Mitchell,13,0,59:49:00,4.6,1,12,0.083,0,5,0,2,4,0.5,1,7,8,0.6,5,0,0,2,0,4,4,0.3,0.083,0.145,14.250,0.281,0.000
1,14,Jo'cilin,Moore ,2,0,4:00,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.000,0.845,0.000,#DIV/0!
0,10,Shemyah,Wilson,1,0,1:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.000,#DIV/0!,#DIV/0!