Player_ID,#,First Name ,Last name ,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
Troy14,25,Alexus,Dye,28,26.9,0.495,0,0.737,3.6,8.9,12.6,0.9,1.1,0.7,16.6
Troy13,14,Tiyah,Johnson,28,28.1,0.394,0.312,0.763,2,2.7,4.7,1.6,1.4,0.2,13
Troy12,2,Felmas,Koranga,23,24.1,0.429,0.083,0.699,4.7,6.4,11.1,0.6,1.5,0.8,12.8
Troy11,4,Jasmine,Robinson,26,25.3,0.371,0.349,0.849,0.7,1.6,2.3,4.6,1.4,0,11.2
Troy10,10,Janiah,Sandifer,27,27.1,0.388,0.394,0.752,1.3,1.5,2.8,1.9,0.9,0,10.7
Troy9,5,Tyasia,Moore,28,17.6,0.457,0.125,0.718,2.2,3.8,6,0.9,1.1,0.2,9.7
Troy8,21,Jhileiya,Dunlap,21,11.7,0.415,0.364,0.537,1.5,1.8,3.2,0.6,0.8,1.9,5.4
Troy7,15,Samira,Moore,13,11.5,0.444,0,0.833,0.8,1.8,2.6,0.4,0.2,0.3,3.5
Troy6,11,Janiah,Ellis,18,6.2,0.328,0.34,0.7,0.3,0.3,0.7,0.1,0.1,0.1,3.4
Troy5,22,Sharonica,Hartsfield,28,17.4,0.282,0.25,0.667,0.5,1.5,2,3.3,1.6,0,2.8
Troy4,1,Dominique,Camp,17,6.2,0.387,0.35,0.667,0.2,0.7,0.9,0.4,0.4,0,1.9
Troy3,0,Emely,Rosario,27,10,0.389,0,0.5,0.1,1,1.2,2.1,0.5,0.1,1.8
Troy2,13,Kennedi,White,6,8.3,0.231,0,0.556,1.7,1.5,3.2,0.3,0.2,0.3,1.8
Troy1,23,Jelissa,Reese,26,6.7,0.364,0.286,0.8,0.6,1,1.5,0.4,0.3,0,1.6
Troy0,3,Agustina,Talasimov,12,4.8,0.125,0,0.75,0.3,0.4,0.7,0.5,0.2,0.1,0.4