Player_ID,#,First name ,Last name,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
Troy12,2,Felmas,Koranga,33,33,857,171,380,0.45,1,7,0.143,73,99,0.737,416,12.6
Troy21,1,Amber,Leggett,30,18,633,134,301,0.445,12,33,0.364,73,104,0.702,353,11.8
Troy20,15,Tina,Stephens,25,19,547,83,179,0.464,6,22,0.273,66,91,0.725,238,9.5
Troy13,14,Tiyah,Johnson,33,23,731,94,259,0.363,50,143,0.35,52,68,0.765,290,8.8
Troy11,4,Jasmine,Robinson,32,24,769,73,264,0.277,10,69,0.145,84,101,0.832,240,7.5
Troy8,21,Jhileiya,Dunlap,31,8,482,91,211,0.431,6,27,0.222,33,44,0.75,221,7.1
Troy10,10,Janiah,Sandifer,31,19,660,57,188,0.303,33,128,0.258,52,74,0.703,199,6.4
Troy19,20,Za'Nautica,Downs,31,1,395,54,170,0.318,16,75,0.213,46,60,0.767,170,5.5
Troy18,12,Brianna,Harris,20,2,281,42,98,0.429,2,13,0.154,12,19,0.632,98,4.9
Troy5,22,Sharonica,Hartsfield,29,15,535,35,120,0.292,13,56,0.232,35,48,0.729,118,4.1
Troy17,11,Ja'Mia,Hollings,30,0,288,44,105,0.419,0,3,0,19,31,0.613,107,3.6
Troy16,5,Jada,Walton,26,3,243,33,94,0.351,15,56,0.268,4,13,0.308,85,3.3
Troy15,0,Gabbi,Cartagena,21,0,153,21,52,0.404,10,32,0.313,14,15,0.933,66,3.1
Troy1,23,Jelissa,Reese,6,0,26,1,13,0.077,0,1,0,0,0,0,2,0.3